sample_name	age_of_minerals_years	alkalinity	altitude	altitude_m	anonymized_name	barium	bromide	calcium	carb_nitro_ratio	chloride	chromium	cobalt	collection_timestamp	copper	country	depth	depth_m	description	diss_carb_dioxide	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	host_subject_id	latitude	latitude_deg	longitude	longitude_deg	magnesium	manganese	methane	molybdenum	nickel	org_carb	organism_count	ph	ph_meth	phosphate	phosphate_umol_per_l	phosplipid_fatt_acid	physical_specimen_location	physical_specimen_remaining	porosity	potassium	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	redox_potential	salinity	salinity_psu	sample_description	sample_scientific_name	sample_taxid	sample_type	scientific_name	strontium	sulfate	sulfate_umol_per_l	sulfide	temp	temperature_deg_c	titanium	title	total_inorg_carb	uranium	vanadium	water_content
804.073105.bio1slurpA1.2109.1.1	not provided	not provided	0	0.0	073105.bio1slurpA1.2109.1.1	not provided	not provided	not provided	not provided	not provided	not provided	not provided	2005-07-31	not provided	GAZ:North Atlantic Ocean	741.8	741.8	old chimney with dark and red inclusions (slurp of cap carbonate)	not provided	TRUE	0	0	True	EMP sample	Free-living	Saline	Surface (saline)	marine benthic biome	hydrothermal vent	biofilm	hydrothermal seep	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	TRUE	North Atlantic Ocean:Lost City hydrothermal field	073105.bio1slurpA1.2109.1.1	30.125314	30.125314	-42.118869	-42.118869	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not applicable	not provided	not provided	not applicable	not provided	Brazelton lab, East Carolina University	TRUE	not provided	not provided	TRUE				804	not provided	not provided	not applicable	old chimney with dark and red inclusions (slurp of cap carbonate)	hydrothermal vent metagenome	652676	biofilm	hydrothermal vent metagenome	not provided	not provided	not applicable	not provided	not provided	not applicable	not provided	Brazelton_LostCity_chimney_biofilm	not provided	not provided	not provided	not provided
804.073105.bio1slurpA1.2109.2.1	not provided	not provided	0	0.0	073105.bio1slurpA1.2109.2.1	not provided	not provided	not provided	not provided	not provided	not provided	not provided	2005-07-31	not provided	GAZ:North Atlantic Ocean	741.8	741.8	young part of chimney (slurp of cap carbonate)	not provided	TRUE	0	0	True	EMP sample	Free-living	Saline	Surface (saline)	marine benthic biome	hydrothermal vent	biofilm	hydrothermal seep	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	TRUE	North Atlantic Ocean:Lost City hydrothermal field	073105.bio1slurpA1.2109.2.1	30.125314	30.125314	-42.118869	-42.118869	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not applicable	not provided	not provided	not applicable	not provided	Brazelton lab, East Carolina University	TRUE	not provided	not provided	TRUE	Free-living	Saline	Surface (saline)	804	not provided	not provided	not applicable	young part of chimney (slurp of cap carbonate)	hydrothermal vent metagenome	652676	biofilm	hydrothermal vent metagenome	not provided	not provided	not applicable	not provided	not provided	not applicable	not provided	Brazelton_LostCity_chimney_biofilm	not provided	not provided	not provided	not provided
804.073105.bio1slurpA1.2109.3.1	not provided	not provided	0	0.0	073105.bio1slurpA1.2109.3.1	not provided	not provided	not provided	not provided	not provided	not provided	not provided	2005-07-31	not provided	GAZ:North Atlantic Ocean	741.8	741.8	old chimney, no red parts (slurp of cap carbonate)	not provided	TRUE	0	0	True	EMP sample	Free-living	Saline	Surface (saline)	marine benthic biome	hydrothermal vent	biofilm	hydrothermal seep	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	TRUE	North Atlantic Ocean:Lost City hydrothermal field	073105.bio1slurpA1.2109.3.1	30.125314	30.125314	-42.118869	-42.118869	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not applicable	not provided	not provided	not applicable	not provided	Brazelton lab, East Carolina University	TRUE	not provided	not provided	TRUE	Free-living	Saline	Surface (saline)	804	not provided	not provided	not applicable	old chimney, no red parts (slurp of cap carbonate)	hydrothermal vent metagenome	652676	biofilm	hydrothermal vent metagenome	not provided	not provided	not applicable	not provided	not provided	not applicable	not provided	Brazelton_LostCity_chimney_biofilm	not provided	not provided	not provided	not provided
804.3651.0938	31526.44102	not provided	0	0.0	3651.0938	28.07	not provided	0.3339	not provided	not provided	0.27	0.28	2000-12-05	0.02	GAZ:North Atlantic Ocean	786	786.0	well-lithified, dark exterior, off-white interior, fossils (Poseidon, south face)	not provided	TRUE	0	0	True	EMP sample	Free-living	Saline	Surface (saline)	marine benthic biome	hydrothermal vent	biofilm	hydrothermal seep	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	TRUE	North Atlantic Ocean:Lost City hydrothermal field	3651.0938	30.123961	30.123961	-42.119688	-42.119688	0.0025	15.42	not provided	0.02	0.21	not provided	not provided	not applicable	not provided	not provided	not applicable	not provided	Brazelton lab, East Carolina University	TRUE	not provided	0.0001	TRUE	Free-living	Saline	Surface (saline)	804	not provided	not provided	not applicable	well-lithified, dark exterior, off-white interior, fossils (Poseidon, south face)	hydrothermal vent metagenome	652676	biofilm	hydrothermal vent metagenome	11487.34	not provided	not applicable	not provided	not provided	not applicable	5.99	Brazelton_LostCity_chimney_biofilm	not provided	9.9	2.02	not provided
804.3651.0944	456.6963062	not provided	0	0.0	3651.0944	33.178	not provided	0.0527	not provided	not provided	not provided	not provided	2000-12-05	0.719	GAZ:North Atlantic Ocean	777	777.0	extinct spire with flow (marker 6)	not provided	TRUE	0	0	True	EMP sample	Free-living	Saline	Surface (saline)	marine benthic biome	hydrothermal vent	biofilm	hydrothermal seep	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	TRUE	North Atlantic Ocean:Lost City hydrothermal field	3651.0944	30.123961	30.123961	-42.119688	-42.119688	0.277	3.677	not provided	0.381	not provided	not provided	110000000	not applicable	not provided	not provided	not applicable	not provided	Brazelton lab, East Carolina University	TRUE	45	0.0008	TRUE				804	not provided	not provided	not applicable	extinct spire with flow (marker 6)	hydrothermal vent metagenome	652676	biofilm	hydrothermal vent metagenome	2184.15	not provided	not applicable	not provided	not provided	not applicable	5.292	Brazelton_LostCity_chimney_biofilm	not provided	2.936	1.308	not provided
804.3651.1123A	1736.794185	not provided	0	0.0	3651.1123A	20.102	not provided	0.3282	not provided	not provided	not provided	0.094	2000-12-05	not provided	GAZ:North Atlantic Ocean	missing: Missing: Not provided	not applicable	talus (extinct)	not provided	TRUE	0	0	True	EMP sample	Free-living	Saline	Surface (saline)	marine benthic biome	hydrothermal vent	biofilm	hydrothermal seep	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	TRUE	North Atlantic Ocean:Lost City hydrothermal field	3651.1123A	30.123826	30.123826	-42.120621	-42.120621	0.0003	6.036	not provided	0.02	0.194	not provided	not provided	not applicable	not provided	not provided	not applicable	not provided	Brazelton lab, East Carolina University	TRUE	not provided	0.0006	TRUE	Free-living	Saline	Surface (saline)	804	not provided	not provided	not applicable	talus (extinct)	hydrothermal vent metagenome	652676	biofilm	hydrothermal vent metagenome	18931.53	not provided	not applicable	not provided	not provided	not applicable	not provided	Brazelton_LostCity_chimney_biofilm	not provided	5.681	0.424	not provided
804.3651.1123B	1736.794185	not provided	0	0.0	3651.1123B	20.102	not provided	0.3282	not provided	not provided	not provided	0.094	2000-12-05	not provided	GAZ:North Atlantic Ocean	missing: Missing: Not provided	not applicable	talus (extinct)	not provided	TRUE	0	0	True	EMP sample	Free-living	Saline	Surface (saline)	marine benthic biome	hydrothermal vent	biofilm	hydrothermal seep	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	TRUE	North Atlantic Ocean:Lost City hydrothermal field	3651.1123B	30.123826	30.123826	-42.120621	-42.120621	0.0003	6.036	not provided	0.02	0.194	not provided	not provided	not applicable	not provided	not provided	not applicable	not provided	Brazelton lab, East Carolina University	TRUE	not provided	0.0006	TRUE	Free-living	Saline	Surface (saline)	804	not provided	not provided	not applicable	talus (extinct)	hydrothermal vent metagenome	652676	biofilm	hydrothermal vent metagenome	18931.53	not provided	not applicable	not provided	not provided	not applicable	not provided	Brazelton_LostCity_chimney_biofilm	not provided	5.681	0.424	not provided
804.3651.1231	1725.88005	not provided	0	0.0	3651.1231	33.73	not provided	0.317	not provided	not provided	0.04	bdl	2000-12-05	bdl	GAZ:North Atlantic Ocean	777	777.0	gray, mottled surface, well-lithified, white interior (top of Poseidon, in saddle)	not provided	TRUE	0	0	True	EMP sample	Free-living	Saline	Surface (saline)	marine benthic biome	hydrothermal vent	biofilm	hydrothermal seep	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	TRUE	North Atlantic Ocean:Lost City hydrothermal field	3651.1231	30.123961	30.123961	-42.119688	-42.119688	0.0082	4.83	not provided	0.08	0.13	not provided	not provided	not applicable	not provided	not provided	not applicable	not provided	Brazelton lab, East Carolina University	TRUE	not provided	0.0009	TRUE	Free-living	Saline	Surface (saline)	804	not provided	not provided	not applicable	gray, mottled surface, well-lithified, white interior (top of Poseidon, in saddle)	hydrothermal vent metagenome	652676	biofilm	hydrothermal vent metagenome	15090.06	not provided	not applicable	not provided	not provided	not applicable	1.98	Brazelton_LostCity_chimney_biofilm	not provided	4.78	0.9	not provided
804.3862.1219	274.5475042	not provided	0	0.0	3862.1219	22.669	not provided	0.2103	not provided	not provided	not provided	not provided	2003-04-27	not provided	GAZ:North Atlantic Ocean	730	730.0	active chimney (Poseidon, south side)	not provided	TRUE	0	0	True	EMP sample	Free-living	Saline	Surface (saline)	marine benthic biome	hydrothermal vent	biofilm	hydrothermal seep	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	TRUE	North Atlantic Ocean:Lost City hydrothermal field	3862.1219	30.12397	30.12397	-42.120113	-42.120113	0.1382	5.445	1.55	0.6	not provided	not provided	not provided	10.2	not provided	0.36	0.36	92	Brazelton lab, East Carolina University	TRUE	34.3	0.0003	TRUE	Free-living	Saline	Surface (saline)	804	not provided	not provided	not applicable	active chimney (Poseidon, south side)	hydrothermal vent metagenome	652676	biofilm	hydrothermal vent metagenome	6615.44	2.9	2.9	0.2	88	88.0	not provided	Brazelton_LostCity_chimney_biofilm	not provided	3.424	0.941	0.0221
804.3862.1325	35.9290433	not provided	0	0.0	3862.1325	21.77	not provided	0.2523	not provided	not provided	not provided	not provided	2003-04-27	not provided	GAZ:North Atlantic Ocean	733	733.0	active chimney (Poseidon, south side)	not provided	TRUE	0	0	True	EMP sample	Free-living	Saline	Surface (saline)	marine benthic biome	hydrothermal vent	biofilm	hydrothermal seep	biome	aquatic biome	marine biome	marine benthic biome	not applicable	not applicable	TRUE	North Atlantic Ocean:Lost City hydrothermal field	3862.1325	30.12397	30.12397	-42.120113	-42.120113	0.0891	5.2	1.55	0.09	not provided	not provided	not provided	10.2	not provided	0.36	0.36	92	Brazelton lab, East Carolina University	TRUE	56.7	0.0004	TRUE	Free-living	Saline	Surface (saline)	804	not provided	not provided	not applicable	active chimney (Poseidon, south side)	hydrothermal vent metagenome	652676	biofilm	hydrothermal vent metagenome	5698.39	2.9	2.9	0.2	88	88.0	not provided	Brazelton_LostCity_chimney_biofilm	not provided	2.36	0.14	0.0185
